Wavelength,Black,Grey,White
644,4.405542223,9.42430787,70.91664045
645,4.398994679,9.419247367,70.89980345
646,4.399809615,9.420255489,70.88544407
647,4.404436081,9.4245126,70.8703595
648,4.398675614,9.421359406,70.84219372
649,4.400335695,9.416897758,70.82540113
650,4.400814914,9.413647019,70.8091903
651,4.39416312,9.413615904,70.78679065
652,4.39578216,9.409461359,70.77188815
653,4.398814189,9.407211349,70.76053084
654,4.401877457,9.406064803,70.75112288
655,4.3996387,9.397638207,70.73522539
656,4.400876002,9.396715916,70.71915994
657,4.401965634,9.39732612,70.70497394
658,4.399310653,9.394181438,70.69516264
659,4.404219883,9.395094133,70.67452878
660,4.407046056,9.392981133,70.65742236
661,4.406500546,9.387144252,70.64522714
662,4.404967327,9.382817139,70.62708305
663,4.405110725,9.379390375,70.60702458
664,4.406536307,9.37520545,70.58838177
665,4.409243612,9.36717245,70.57698633
666,4.407245789,9.365712725,70.56038187
667,4.408068511,9.366159411,70.54451491
668,4.413824273,9.367386037,70.5309201
669,4.406525869,9.368193156,70.50842107
670,4.404832814,9.368523415,70.49400071
671,4.406405478,9.367942311,70.48156191
672,4.406566886,9.364764065,70.45512044
673,4.409077906,9.360770247,70.43993421
674,4.409885842,9.357471235,70.42168828
675,4.406676248,9.355739462,70.39282268
676,4.410592921,9.354097476,70.38548733
677,4.408313204,9.349436495,70.36782479
678,4.402614548,9.343082474,70.34306649
679,4.408315665,9.341421903,70.33077724
680,4.40645569,9.339063785,70.3139005
681,4.404495346,9.337808973,70.29411688
682,4.408197705,9.339425213,70.27174884
683,4.405315024,9.336706806,70.25545636
684,4.405820193,9.335888301,70.23653687
685,4.40992827,9.336982369,70.21410987
686,4.407589742,9.332455722,70.18951443
687,4.410144289,9.330185214,70.17641094
688,4.413724839,9.328037904,70.16556287
689,4.413458499,9.323114883,70.14515796
690,4.413005229,9.319377775,70.12446134
691,4.412794397,9.317168538,70.1037175
692,4.412870563,9.316611341,70.08311471
693,4.411015405,9.315715658,70.06738829
694,4.413463751,9.314960223,70.04434688
695,4.416655942,9.314729637,70.01873779
696,4.412865209,9.316141291,70.00007866
697,4.412983744,9.314067399,69.9817589
698,4.412198231,9.311259948,69.96231345
699,4.408499126,9.308657196,69.94097559
700,4.412593464,9.306784513,69.92269387
701,4.411681735,9.304951267,69.903694
702,4.407878293,9.30264479,69.88370295
703,4.409162584,9.297756802,69.86156311
704,4.409096086,9.298136275,69.84134071
705,4.409018421,9.2974328,69.82159214
706,4.409784108,9.291267979,69.80146257
707,4.408409052,9.291644594,69.78559354
708,4.409555038,9.292533259,69.76570354
709,4.412444392,9.293133273,69.74316962
710,4.409539125,9.29122063,69.73138203
711,4.414047963,9.29148062,69.70973236
712,4.418951788,9.292151093,69.68617175
713,4.417092006,9.291560047,69.66821854
714,4.415492067,9.286815885,69.65643523
715,4.415116071,9.283722954,69.63802573
716,4.415876098,9.282746496,69.61168223
717,4.413534678,9.275861301,69.59271997
718,4.415130356,9.274051565,69.57352054
719,4.417356282,9.274401837,69.5539725
720,4.414893301,9.272971995,69.53373026
721,4.414287372,9.274853773,69.51984348
722,4.414376435,9.274978955,69.50569568
723,4.414894693,9.271755971,69.4892427
724,4.414859538,9.269225512,69.45883485
725,4.41544308,9.266628607,69.44084777
726,4.41655789,9.263767554,69.42693032
727,4.418178931,9.259977066,69.39526029
728,4.416337076,9.260364262,69.37507356
729,4.41594746,9.260150399,69.35905413
730,4.419680017,9.256917267,69.34462102
731,4.416973084,9.25368548,69.31902566
732,4.416945998,9.252865145,69.29721839
733,4.419097295,9.253839327,69.27959453
734,4.41865976,9.253110856,69.26510675
735,4.417169007,9.252387657,69.2401023
736,4.41609818,9.252761031,69.21684172
737,4.416865544,9.255566524,69.2064931
738,4.420754463,9.250836178,69.18383939
739,4.421083441,9.24717422,69.16027055
740,4.417762119,9.245371607,69.13806651
741,4.419118861,9.242225918,69.12600957
742,4.418967002,9.239930414,69.11492243
743,4.418701327,9.238679767,69.09939439
744,4.420218351,9.239205509,69.06985816
745,4.417874797,9.239723786,69.04485749
746,4.417553186,9.239710458,69.02811385
747,4.420637313,9.239042714,69.02039157
748,4.422728778,9.238953238,68.99721534
749,4.423279308,9.240104416,68.97724621
750,4.423724127,9.240811716,68.96190441
751,4.427320914,9.236997402,68.95657336
752,4.425490235,9.231115517,68.92985766
753,4.424139874,9.227843369,68.90388139
754,4.425663847,9.22946564,68.88739674
755,4.427938843,9.228966222,68.86785211
756,4.427121571,9.227108187,68.84474109
757,4.424622011,9.225069971,68.82171974
758,4.425611851,9.22730063,68.81313807
759,4.424861754,9.225781474,68.79421761
760,4.425356538,9.223264352,68.77191567
761,4.429402003,9.221248843,68.74979848
762,4.428984815,9.224369354,68.74336987
763,4.428310963,9.224218049,68.73174714
764,4.428137202,9.221001976,68.71420815
765,4.431425586,9.220382416,68.69643139
766,4.430212908,9.218996196,68.67868715
767,4.427542097,9.217270262,68.65854603
768,4.426036492,9.215516425,68.63249704
769,4.424268117,9.214439378,68.60994789
770,4.427037589,9.215296518,68.59103782
771,4.434256633,9.217906762,68.57552349
772,4.429965712,9.215254547,68.55736887
773,4.431533157,9.216590923,68.54388161
774,4.433949866,9.218744805,68.53276299
775,4.42896334,9.216620909,68.5212048
776,4.430204374,9.215731271,68.49865943
777,4.432751146,9.215402358,68.47465687
778,4.435333582,9.2155179,68.45182559
779,4.436370863,9.212566896,68.43550223
780,4.433696424,9.211873935,68.41559807
781,4.429942071,9.21195895,68.3930074
782,4.433148814,9.20837448,68.36962873
783,4.436025816,9.208732023,68.36059305
784,4.437136085,9.2096948,68.34884138
785,4.435260391,9.209621886,68.32451059
786,4.437310868,9.209106845,68.30833004
787,4.439578585,9.209572241,68.29071582
788,4.441259478,9.210223093,68.27094827
789,4.438931516,9.206324952,68.24755215
790,4.43706963,9.203873771,68.23474488
791,4.437378918,9.202818484,68.22215785
792,4.442149235,9.203629357,68.20081334
793,4.439555461,9.205037654,68.18654757
794,4.438863352,9.204608815,68.16938231
795,4.440918308,9.202304401,68.14944029
